Country,City,Month,Day,Year,AvgTemperature
Brazil,Sao Paulo,5,22,2010,17.333333333333332
Brazil,Sao Paulo,5,23,2010,17.0
Brazil,Sao Paulo,5,24,2010,18.166666666666668
Brazil,Sao Paulo,5,25,2010,20.055555555555557
Brazil,Sao Paulo,5,26,2010,19.33333333333333
Brazil,Sao Paulo,5,27,2010,16.5
Brazil,Sao Paulo,5,28,2010,16.666666666666668
Brazil,Sao Paulo,5,29,2010,18.166666666666668
Brazil,Sao Paulo,5,30,2010,20.611111111111107
Brazil,Sao Paulo,5,31,2010,17.555555555555557
Brazil,Sao Paulo,6,1,2010,13.555555555555555
Brazil,Sao Paulo,6,2,2010,14.833333333333334
Brazil,Sao Paulo,6,3,2010,16.444444444444443
Brazil,Sao Paulo,6,4,2010,16.88888888888889
Brazil,Sao Paulo,6,5,2010,17.88888888888889
Brazil,Sao Paulo,6,6,2010,14.27777777777778
Brazil,Sao Paulo,6,7,2010,14.555555555555555
Brazil,Sao Paulo,6,8,2010,13.499999999999998
Brazil,Sao Paulo,6,9,2010,14.27777777777778
Brazil,Sao Paulo,6,10,2010,15.333333333333334
Brazil,Sao Paulo,6,11,2010,14.11111111111111
Brazil,Sao Paulo,6,12,2010,12.5
Brazil,Sao Paulo,6,13,2010,12.444444444444445
Brazil,Sao Paulo,6,14,2010,14.22222222222222
Brazil,Sao Paulo,6,15,2010,16.333333333333332
Brazil,Sao Paulo,6,16,2010,17.11111111111111
Brazil,Sao Paulo,6,17,2010,20.0
Brazil,Sao Paulo,6,18,2010,19.61111111111111
Brazil,Sao Paulo,6,19,2010,21.166666666666664
Brazil,Sao Paulo,6,20,2010,22.22222222222222
Brazil,Sao Paulo,6,21,2010,18.444444444444443
Brazil,Sao Paulo,6,22,2010,15.11111111111111
Brazil,Sao Paulo,6,23,2010,14.666666666666666
Brazil,Sao Paulo,6,24,2010,18.05555555555556
Brazil,Sao Paulo,6,25,2010,21.38888888888889
Brazil,Sao Paulo,6,26,2010,17.72222222222222
Brazil,Sao Paulo,6,27,2010,16.77777777777778
Brazil,Sao Paulo,6,28,2010,17.83333333333333
Brazil,Sao Paulo,6,29,2010,16.88888888888889
Brazil,Sao Paulo,6,30,2010,17.38888888888889
Brazil,Sao Paulo,7,1,2010,17.333333333333332
Brazil,Sao Paulo,7,2,2010,16.444444444444443
Brazil,Sao Paulo,7,3,2010,16.61111111111111
Brazil,Sao Paulo,7,4,2010,16.38888888888889
Brazil,Sao Paulo,7,5,2010,17.83333333333333
Brazil,Sao Paulo,7,6,2010,19.0
Brazil,Sao Paulo,7,7,2010,19.61111111111111
Brazil,Sao Paulo,7,8,2010,19.77777777777777
Brazil,Sao Paulo,7,9,2010,18.05555555555556
Brazil,Sao Paulo,7,10,2010,17.166666666666668
Brazil,Sao Paulo,7,11,2010,18.61111111111111
Brazil,Sao Paulo,7,12,2010,21.333333333333336
Brazil,Sao Paulo,7,13,2010,18.77777777777778
Brazil,Sao Paulo,7,14,2010,13.0
Brazil,Sao Paulo,7,15,2010,13.27777777777778
Brazil,Sao Paulo,7,16,2010,13.88888888888889
Brazil,Sao Paulo,7,17,2010,15.22222222222222
Brazil,Sao Paulo,7,18,2010,17.11111111111111
Brazil,Sao Paulo,7,19,2010,19.05555555555556
Brazil,Sao Paulo,7,20,2010,20.500000000000004
Brazil,Sao Paulo,7,21,2010,21.333333333333336
Brazil,Sao Paulo,7,22,2010,22.38888888888889
Brazil,Sao Paulo,7,23,2010,20.500000000000004
Brazil,Sao Paulo,7,24,2010,18.166666666666668
Brazil,Sao Paulo,7,25,2010,19.05555555555556
Brazil,Sao Paulo,7,26,2010,18.88888888888889
Brazil,Sao Paulo,7,27,2010,15.666666666666666
Brazil,Sao Paulo,7,28,2010,16.77777777777778
Brazil,Sao Paulo,7,29,2010,20.27777777777778
Brazil,Sao Paulo,7,30,2010,21.27777777777778
Brazil,Sao Paulo,7,31,2010,21.38888888888889
Brazil,Sao Paulo,8,1,2010,19.111111111111114
Brazil,Sao Paulo,8,2,2010,15.055555555555555
Brazil,Sao Paulo,8,3,2010,13.61111111111111
Brazil,Sao Paulo,8,4,2010,12.27777777777778
Brazil,Sao Paulo,8,5,2010,12.611111111111112
Brazil,Sao Paulo,8,6,2010,12.388888888888888
Brazil,Sao Paulo,8,7,2010,14.61111111111111
Brazil,Sao Paulo,8,8,2010,17.5
Brazil,Sao Paulo,8,9,2010,15.055555555555555
Brazil,Sao Paulo,8,10,2010,14.166666666666666
Brazil,Sao Paulo,8,11,2010,15.055555555555555
Brazil,Sao Paulo,8,12,2010,18.38888888888889
Brazil,Sao Paulo,8,13,2010,22.27777777777777
Brazil,Sao Paulo,8,14,2010,13.0
Brazil,Sao Paulo,8,15,2010,10.27777777777778
Brazil,Sao Paulo,8,16,2010,11.38888888888889
Brazil,Sao Paulo,8,17,2010,12.5
Brazil,Sao Paulo,8,18,2010,13.555555555555555
Brazil,Sao Paulo,8,19,2010,16.72222222222222
Brazil,Sao Paulo,8,20,2010,18.666666666666664
Brazil,Sao Paulo,8,21,2010,18.444444444444443
Brazil,Sao Paulo,8,22,2010,21.11111111111111
Brazil,Sao Paulo,8,23,2010,21.944444444444443
Brazil,Sao Paulo,8,24,2010,23.111111111111107
Brazil,Sao Paulo,8,25,2010,23.55555555555556
Brazil,Sao Paulo,8,26,2010,24.111111111111114
Brazil,Sao Paulo,8,27,2010,23.05555555555556
Brazil,Sao Paulo,8,28,2010,17.666666666666668
Brazil,Sao Paulo,8,29,2010,20.166666666666668
Brazil,Sao Paulo,8,30,2010,17.22222222222222
Brazil,Sao Paulo,8,31,2010,19.88888888888889
Brazil,Sao Paulo,9,1,2010,22.33333333333333
Brazil,Sao Paulo,9,2,2010,23.55555555555556
Brazil,Sao Paulo,9,3,2010,24.111111111111114
Brazil,Sao Paulo,9,4,2010,24.944444444444446
Brazil,Sao Paulo,9,5,2010,18.05555555555556
Brazil,Sao Paulo,9,6,2010,13.722222222222223
Brazil,Sao Paulo,9,7,2010,15.666666666666666
Brazil,Sao Paulo,9,8,2010,15.055555555555555
Brazil,Sao Paulo,9,9,2010,15.61111111111111
Brazil,Sao Paulo,9,10,2010,16.833333333333332
Brazil,Sao Paulo,9,11,2010,20.055555555555557
Brazil,Sao Paulo,9,12,2010,21.888888888888893
Brazil,Sao Paulo,9,13,2010,24.27777777777778
Brazil,Sao Paulo,9,14,2010,25.88888888888889
Brazil,Sao Paulo,9,15,2010,19.77777777777777
Brazil,Sao Paulo,9,16,2010,16.22222222222222
Brazil,Sao Paulo,9,17,2010,19.77777777777777
Brazil,Sao Paulo,9,18,2010,15.11111111111111
Brazil,Sao Paulo,9,19,2010,14.055555555555554
Brazil,Sao Paulo,9,20,2010,16.27777777777778
Brazil,Sao Paulo,9,21,2010,19.166666666666668
Brazil,Sao Paulo,9,22,2010,21.333333333333336
Brazil,Sao Paulo,9,23,2010,21.611111111111114
Brazil,Sao Paulo,9,24,2010,19.5
Brazil,Sao Paulo,9,25,2010,17.5
Brazil,Sao Paulo,9,26,2010,17.11111111111111
Brazil,Sao Paulo,9,27,2010,18.61111111111111
Brazil,Sao Paulo,9,28,2010,18.000000000000004
Brazil,Sao Paulo,9,29,2010,19.72222222222222
Brazil,Sao Paulo,9,30,2010,21.11111111111111
Brazil,Sao Paulo,10,1,2010,20.166666666666668
Brazil,Sao Paulo,10,2,2010,19.55555555555556
Brazil,Sao Paulo,10,3,2010,14.38888888888889
Brazil,Sao Paulo,10,4,2010,15.22222222222222
Brazil,Sao Paulo,10,5,2010,17.38888888888889
Brazil,Sao Paulo,10,6,2010,18.111111111111107
Brazil,Sao Paulo,10,7,2010,20.33333333333333
Brazil,Sao Paulo,10,8,2010,20.666666666666668
Brazil,Sao Paulo,10,9,2010,15.0
Brazil,Sao Paulo,10,10,2010,14.11111111111111
Brazil,Sao Paulo,10,11,2010,13.27777777777778
Brazil,Sao Paulo,10,12,2010,13.444444444444446
Brazil,Sao Paulo,10,13,2010,14.555555555555555
Brazil,Sao Paulo,10,14,2010,17.5
Brazil,Sao Paulo,10,15,2010,19.88888888888889
Brazil,Sao Paulo,10,16,2010,22.666666666666668
Brazil,Sao Paulo,10,17,2010,20.666666666666668
Brazil,Sao Paulo,10,18,2010,17.27777777777778
Brazil,Sao Paulo,10,19,2010,15.944444444444445
Brazil,Sao Paulo,10,20,2010,16.166666666666668
Brazil,Sao Paulo,10,21,2010,16.333333333333332
Brazil,Sao Paulo,10,22,2010,18.61111111111111
Brazil,Sao Paulo,10,23,2010,20.666666666666668
Brazil,Sao Paulo,10,24,2010,19.444444444444443
Brazil,Sao Paulo,10,25,2010,19.83333333333333
Brazil,Sao Paulo,10,26,2010,17.944444444444443
Brazil,Sao Paulo,10,27,2010,16.444444444444443
Brazil,Sao Paulo,10,28,2010,18.22222222222222
Brazil,Sao Paulo,10,29,2010,21.11111111111111
Brazil,Sao Paulo,10,30,2010,20.055555555555557
Brazil,Sao Paulo,10,31,2010,20.444444444444443
Brazil,Sao Paulo,11,1,2010,19.77777777777777
Brazil,Sao Paulo,11,2,2010,18.944444444444443
Brazil,Sao Paulo,11,3,2010,19.388888888888893
Brazil,Sao Paulo,11,4,2010,20.83333333333333
Brazil,Sao Paulo,11,5,2010,24.83333333333333
Brazil,Sao Paulo,11,6,2010,18.833333333333336
Brazil,Sao Paulo,11,7,2010,19.222222222222214
Brazil,Sao Paulo,11,8,2010,23.05555555555556
Brazil,Sao Paulo,11,9,2010,26.444444444444443
Brazil,Sao Paulo,11,10,2010,20.944444444444443
Brazil,Sao Paulo,11,11,2010,15.166666666666666
Brazil,Sao Paulo,11,12,2010,15.055555555555555
Brazil,Sao Paulo,11,13,2010,14.88888888888889
Brazil,Sao Paulo,11,14,2010,16.666666666666668
Brazil,Sao Paulo,11,15,2010,18.61111111111111
Brazil,Sao Paulo,11,16,2010,17.77777777777778
Brazil,Sao Paulo,11,17,2010,19.444444444444443
Brazil,Sao Paulo,11,18,2010,21.05555555555556
Brazil,Sao Paulo,11,19,2010,22.22222222222222
Brazil,Sao Paulo,11,20,2010,22.444444444444446
Brazil,Sao Paulo,11,21,2010,24.77777777777777
Brazil,Sao Paulo,11,22,2010,22.27777777777777
Brazil,Sao Paulo,11,23,2010,20.166666666666668
Brazil,Sao Paulo,11,24,2010,20.88888888888889
Brazil,Sao Paulo,11,25,2010,22.22222222222222
Brazil,Sao Paulo,11,26,2010,20.55555555555556
Brazil,Sao Paulo,11,27,2010,21.5
Brazil,Sao Paulo,11,28,2010,22.944444444444443
Brazil,Sao Paulo,11,29,2010,24.55555555555556
Brazil,Sao Paulo,11,30,2010,23.111111111111107
Brazil,Sao Paulo,12,1,2010,21.55555555555556
Brazil,Sao Paulo,12,2,2010,23.5
Brazil,Sao Paulo,12,3,2010,24.72222222222222
Brazil,Sao Paulo,12,4,2010,23.61111111111111
Brazil,Sao Paulo,12,5,2010,23.05555555555556
Brazil,Sao Paulo,12,6,2010,22.0
Brazil,Sao Paulo,12,7,2010,22.38888888888889
Brazil,Sao Paulo,12,8,2010,25.33333333333333
Brazil,Sao Paulo,12,9,2010,22.05555555555556
Brazil,Sao Paulo,12,10,2010,21.0
Brazil,Sao Paulo,12,11,2010,23.72222222222222
Brazil,Sao Paulo,12,12,2010,26.05555555555556
Brazil,Sao Paulo,12,13,2010,23.277777777777786
Brazil,Sao Paulo,12,14,2010,17.944444444444443
Brazil,Sao Paulo,12,15,2010,17.88888888888889
Brazil,Sao Paulo,12,16,2010,19.944444444444446
Brazil,Sao Paulo,12,17,2010,22.61111111111111
Brazil,Sao Paulo,12,18,2010,22.11111111111111
Brazil,Sao Paulo,12,19,2010,23.5
Brazil,Sao Paulo,12,20,2010,24.55555555555556
Brazil,Sao Paulo,12,21,2010,24.33333333333333
Brazil,Sao Paulo,12,22,2010,23.33333333333333
Brazil,Sao Paulo,12,23,2010,21.22222222222222
Brazil,Sao Paulo,12,24,2010,22.05555555555556
Brazil,Sao Paulo,12,25,2010,23.38888888888889
Brazil,Sao Paulo,12,26,2010,22.83333333333333
Brazil,Sao Paulo,12,27,2010,20.88888888888889
Brazil,Sao Paulo,12,28,2010,20.055555555555557
Brazil,Sao Paulo,12,29,2010,19.88888888888889
Brazil,Sao Paulo,12,30,2010,20.166666666666668
Brazil,Sao Paulo,12,31,2010,20.500000000000004
Brazil,Sao Paulo,1,1,2011,20.83333333333333
Brazil,Sao Paulo,1,2,2011,19.72222222222222
Brazil,Sao Paulo,1,3,2011,20.33333333333333
Brazil,Sao Paulo,1,4,2011,22.11111111111111
Brazil,Sao Paulo,1,5,2011,23.72222222222222
Brazil,Sao Paulo,1,6,2011,23.22222222222222
Brazil,Sao Paulo,1,7,2011,23.111111111111107
Brazil,Sao Paulo,1,8,2011,22.666666666666668
Brazil,Sao Paulo,1,9,2011,24.05555555555556
Brazil,Sao Paulo,1,10,2011,24.77777777777777
Brazil,Sao Paulo,1,11,2011,22.444444444444446
Brazil,Sao Paulo,1,12,2011,23.33333333333333
Brazil,Sao Paulo,1,13,2011,23.166666666666668
Brazil,Sao Paulo,1,14,2011,22.5
Brazil,Sao Paulo,1,15,2011,22.77777777777778
Brazil,Sao Paulo,1,16,2011,23.666666666666664
Brazil,Sao Paulo,1,17,2011,22.666666666666668
Brazil,Sao Paulo,1,18,2011,24.27777777777778
Brazil,Sao Paulo,1,19,2011,23.833333333333336
Brazil,Sao Paulo,1,20,2011,23.833333333333336
Brazil,Sao Paulo,1,21,2011,23.72222222222222
Brazil,Sao Paulo,1,22,2011,24.27777777777778
Brazil,Sao Paulo,1,23,2011,24.55555555555556
Brazil,Sao Paulo,1,24,2011,23.666666666666664
Brazil,Sao Paulo,1,25,2011,23.72222222222222
Brazil,Sao Paulo,1,26,2011,24.166666666666668
Brazil,Sao Paulo,1,27,2011,26.611111111111114
Brazil,Sao Paulo,1,28,2011,26.55555555555556
Brazil,Sao Paulo,1,29,2011,26.444444444444443
Brazil,Sao Paulo,1,30,2011,25.500000000000004
Brazil,Sao Paulo,1,31,2011,24.33333333333333
Brazil,Sao Paulo,2,1,2011,24.33333333333333
Brazil,Sao Paulo,2,2,2011,23.277777777777786
Brazil,Sao Paulo,2,3,2011,22.33333333333333
Brazil,Sao Paulo,2,4,2011,23.277777777777786
Brazil,Sao Paulo,2,5,2011,26.0
Brazil,Sao Paulo,2,6,2011,26.666666666666668
Brazil,Sao Paulo,2,7,2011,25.0
Brazil,Sao Paulo,2,8,2011,24.88888888888889
Brazil,Sao Paulo,2,9,2011,26.55555555555556
Brazil,Sao Paulo,2,10,2011,26.611111111111114
Brazil,Sao Paulo,2,11,2011,26.22222222222222
Brazil,Sao Paulo,2,12,2011,24.5
Brazil,Sao Paulo,2,13,2011,26.166666666666664
Brazil,Sao Paulo,2,14,2011,24.83333333333333
Brazil,Sao Paulo,2,15,2011,21.944444444444443
Brazil,Sao Paulo,2,16,2011,22.555555555555557
Brazil,Sao Paulo,2,17,2011,22.666666666666668
Brazil,Sao Paulo,2,18,2011,22.944444444444443
Brazil,Sao Paulo,2,19,2011,23.944444444444443
Brazil,Sao Paulo,2,20,2011,23.61111111111111
Brazil,Sao Paulo,2,21,2011,23.61111111111111
Brazil,Sao Paulo,2,22,2011,25.33333333333333
Brazil,Sao Paulo,2,23,2011,23.33333333333333
Brazil,Sao Paulo,2,24,2011,23.5
Brazil,Sao Paulo,2,25,2011,23.833333333333336
Brazil,Sao Paulo,2,26,2011,24.166666666666668
Brazil,Sao Paulo,2,27,2011,22.61111111111111
Brazil,Sao Paulo,2,28,2011,21.27777777777778
Brazil,Sao Paulo,3,1,2011,20.444444444444443
Brazil,Sao Paulo,3,2,2011,19.444444444444443
Brazil,Sao Paulo,3,3,2011,18.166666666666668
Brazil,Sao Paulo,3,4,2011,19.222222222222214
Brazil,Sao Paulo,3,5,2011,19.27777777777778
Brazil,Sao Paulo,3,6,2011,19.55555555555556
Brazil,Sao Paulo,3,7,2011,19.33333333333333
Brazil,Sao Paulo,3,8,2011,19.444444444444443
Brazil,Sao Paulo,3,9,2011,21.27777777777778
Brazil,Sao Paulo,3,10,2011,22.38888888888889
Brazil,Sao Paulo,3,11,2011,23.000000000000004
Brazil,Sao Paulo,3,12,2011,21.83333333333333
Brazil,Sao Paulo,3,13,2011,22.61111111111111
Brazil,Sao Paulo,3,14,2011,22.555555555555557
Brazil,Sao Paulo,3,15,2011,21.166666666666664
Brazil,Sao Paulo,3,16,2011,18.944444444444443
Brazil,Sao Paulo,3,17,2011,19.66666666666667
Brazil,Sao Paulo,3,18,2011,22.83333333333333
Brazil,Sao Paulo,3,19,2011,20.777777777777786
Brazil,Sao Paulo,3,20,2011,18.88888888888889
Brazil,Sao Paulo,3,21,2011,20.0
Brazil,Sao Paulo,3,22,2011,20.944444444444443
Brazil,Sao Paulo,3,23,2011,22.444444444444446
Brazil,Sao Paulo,3,24,2011,23.5
Brazil,Sao Paulo,3,25,2011,23.72222222222222
Brazil,Sao Paulo,3,26,2011,24.83333333333333
Brazil,Sao Paulo,3,27,2011,25.166666666666668
Brazil,Sao Paulo,3,28,2011,24.83333333333333
Brazil,Sao Paulo,3,29,2011,22.666666666666668
Brazil,Sao Paulo,3,30,2011,20.38888888888889
Brazil,Sao Paulo,3,31,2011,20.33333333333333
Brazil,Sao Paulo,4,1,2011,21.611111111111114
Brazil,Sao Paulo,4,2,2011,22.61111111111111
Brazil,Sao Paulo,4,3,2011,19.55555555555556
Brazil,Sao Paulo,4,4,2011,19.83333333333333
Brazil,Sao Paulo,4,5,2011,20.777777777777786
Brazil,Sao Paulo,4,6,2011,20.11111111111111
Brazil,Sao Paulo,4,7,2011,20.055555555555557
Brazil,Sao Paulo,4,8,2011,20.944444444444443
Brazil,Sao Paulo,4,9,2011,19.88888888888889
Brazil,Sao Paulo,4,10,2011,19.0
Brazil,Sao Paulo,4,11,2011,21.166666666666664
Brazil,Sao Paulo,4,12,2011,22.83333333333333
Brazil,Sao Paulo,4,13,2011,20.72222222222222
Brazil,Sao Paulo,4,14,2011,23.33333333333333
Brazil,Sao Paulo,4,15,2011,24.222222222222214
Brazil,Sao Paulo,4,16,2011,24.111111111111114
Brazil,Sao Paulo,4,17,2011,22.722222222222225
Brazil,Sao Paulo,4,18,2011,23.166666666666668
Brazil,Sao Paulo,4,19,2011,21.666666666666668
Brazil,Sao Paulo,4,20,2011,21.27777777777778
Brazil,Sao Paulo,4,21,2011,23.444444444444443
Brazil,Sao Paulo,4,22,2011,24.77777777777777
Brazil,Sao Paulo,4,23,2011,25.33333333333333
Brazil,Sao Paulo,4,24,2011,20.33333333333333
Brazil,Sao Paulo,4,25,2011,19.5
Brazil,Sao Paulo,4,26,2011,17.88888888888889
Brazil,Sao Paulo,4,27,2011,17.61111111111111
Brazil,Sao Paulo,4,28,2011,16.5
Brazil,Sao Paulo,4,29,2011,19.0
Brazil,Sao Paulo,4,30,2011,21.722222222222214
Brazil,Sao Paulo,5,1,2011,20.55555555555556
Brazil,Sao Paulo,5,2,2011,18.38888888888889
Brazil,Sao Paulo,5,3,2011,16.22222222222222
Brazil,Sao Paulo,5,4,2011,16.555555555555557
Brazil,Sao Paulo,5,5,2011,19.55555555555556
Brazil,Sao Paulo,5,6,2011,20.777777777777786
Brazil,Sao Paulo,5,7,2011,19.27777777777778
Brazil,Sao Paulo,5,8,2011,20.11111111111111
Brazil,Sao Paulo,5,9,2011,18.944444444444443
Brazil,Sao Paulo,5,10,2011,18.444444444444443
Brazil,Sao Paulo,5,11,2011,20.611111111111107
Brazil,Sao Paulo,5,12,2011,20.38888888888889
Brazil,Sao Paulo,5,13,2011,17.444444444444443
Brazil,Sao Paulo,5,14,2011,16.666666666666668
Brazil,Sao Paulo,5,15,2011,16.444444444444443
Brazil,Sao Paulo,5,16,2011,15.22222222222222
Brazil,Sao Paulo,5,17,2011,13.833333333333334
Brazil,Sao Paulo,5,18,2011,14.22222222222222
Brazil,Sao Paulo,5,19,2011,15.27777777777778
Brazil,Sao Paulo,5,20,2011,16.0
Brazil,Sao Paulo,5,21,2011,16.72222222222222
Brazil,Sao Paulo,5,22,2011,18.111111111111107
Brazil,Sao Paulo,5,23,2011,19.05555555555556
Brazil,Sao Paulo,5,24,2011,18.833333333333336
Brazil,Sao Paulo,5,25,2011,19.388888888888893
Brazil,Sao Paulo,5,26,2011,20.055555555555557
Brazil,Sao Paulo,5,27,2011,16.11111111111111
Brazil,Sao Paulo,5,28,2011,14.000000000000002
Brazil,Sao Paulo,5,29,2011,13.055555555555555
Brazil,Sao Paulo,5,30,2011,13.27777777777778
Brazil,Sao Paulo,5,31,2011,14.72222222222222
Brazil,Sao Paulo,6,1,2011,14.444444444444445
Brazil,Sao Paulo,6,2,2011,14.11111111111111
Brazil,Sao Paulo,6,3,2011,17.5
Brazil,Sao Paulo,6,4,2011,15.5
Brazil,Sao Paulo,6,5,2011,11.833333333333332
Brazil,Sao Paulo,6,6,2011,14.27777777777778
Brazil,Sao Paulo,6,7,2011,17.444444444444443
Brazil,Sao Paulo,6,8,2011,14.444444444444445
Brazil,Sao Paulo,6,9,2011,12.444444444444445
Brazil,Sao Paulo,6,10,2011,14.27777777777778
Brazil,Sao Paulo,6,11,2011,12.444444444444445
Brazil,Sao Paulo,6,12,2011,14.77777777777778
Brazil,Sao Paulo,6,13,2011,16.333333333333332
Brazil,Sao Paulo,6,14,2011,14.5
Brazil,Sao Paulo,6,15,2011,15.055555555555555
Brazil,Sao Paulo,6,16,2011,15.77777777777778
Brazil,Sao Paulo,6,17,2011,17.11111111111111
Brazil,Sao Paulo,6,18,2011,17.944444444444443
Brazil,Sao Paulo,6,19,2011,18.444444444444443
Brazil,Sao Paulo,6,20,2011,20.11111111111111
Brazil,Sao Paulo,6,21,2011,20.38888888888889
Brazil,Sao Paulo,6,22,2011,17.444444444444443
Brazil,Sao Paulo,6,23,2011,18.55555555555556
Brazil,Sao Paulo,6,24,2011,18.55555555555556
Brazil,Sao Paulo,6,25,2011,17.944444444444443
Brazil,Sao Paulo,6,26,2011,17.666666666666668
Brazil,Sao Paulo,6,27,2011,12.388888888888888
Brazil,Sao Paulo,6,28,2011,11.166666666666666
Brazil,Sao Paulo,6,29,2011,13.61111111111111
Brazil,Sao Paulo,6,30,2011,16.61111111111111
Brazil,Sao Paulo,7,1,2011,18.55555555555556
Brazil,Sao Paulo,7,2,2011,18.277777777777786
Brazil,Sao Paulo,7,3,2011,16.88888888888889
Brazil,Sao Paulo,7,4,2011,10.444444444444445
Brazil,Sao Paulo,7,5,2011,12.555555555555555
Brazil,Sao Paulo,7,6,2011,15.055555555555555
Brazil,Sao Paulo,7,7,2011,12.055555555555555
Brazil,Sao Paulo,7,8,2011,11.277777777777777
Brazil,Sao Paulo,7,9,2011,12.444444444444445
Brazil,Sao Paulo,7,10,2011,16.555555555555557
Brazil,Sao Paulo,7,11,2011,19.111111111111114
Brazil,Sao Paulo,7,12,2011,19.88888888888889
Brazil,Sao Paulo,7,13,2011,19.83333333333333
Brazil,Sao Paulo,7,14,2011,20.38888888888889
Brazil,Sao Paulo,7,15,2011,20.72222222222222
Brazil,Sao Paulo,7,16,2011,20.72222222222222
Brazil,Sao Paulo,7,17,2011,19.77777777777777
Brazil,Sao Paulo,7,18,2011,17.27777777777778
Brazil,Sao Paulo,7,19,2011,18.22222222222222
Brazil,Sao Paulo,7,20,2011,19.83333333333333
Brazil,Sao Paulo,7,21,2011,21.888888888888893
Brazil,Sao Paulo,7,22,2011,16.944444444444443
Brazil,Sao Paulo,7,23,2011,14.000000000000002
Brazil,Sao Paulo,7,24,2011,15.77777777777778
Brazil,Sao Paulo,7,25,2011,16.833333333333332
Brazil,Sao Paulo,7,26,2011,18.55555555555556
Brazil,Sao Paulo,7,27,2011,18.22222222222222
Brazil,Sao Paulo,7,28,2011,18.666666666666664
Brazil,Sao Paulo,7,29,2011,21.5
Brazil,Sao Paulo,7,30,2011,19.944444444444446
Brazil,Sao Paulo,7,31,2011,17.72222222222222
Brazil,Sao Paulo,8,1,2011,15.88888888888889
Brazil,Sao Paulo,8,2,2011,17.944444444444443
Brazil,Sao Paulo,8,3,2011,14.444444444444445
Brazil,Sao Paulo,8,4,2011,10.72222222222222
Brazil,Sao Paulo,8,5,2011,11.500000000000002
Brazil,Sao Paulo,8,6,2011,18.77777777777778
Brazil,Sao Paulo,8,7,2011,22.38888888888889
Brazil,Sao Paulo,8,8,2011,21.611111111111114
Brazil,Sao Paulo,8,9,2011,18.166666666666668
Brazil,Sao Paulo,8,10,2011,16.333333333333332
Brazil,Sao Paulo,8,11,2011,16.22222222222222
Brazil,Sao Paulo,8,12,2011,18.944444444444443
Brazil,Sao Paulo,8,13,2011,22.05555555555556
Brazil,Sao Paulo,8,14,2011,18.22222222222222
Brazil,Sao Paulo,8,15,2011,18.88888888888889
Brazil,Sao Paulo,8,16,2011,21.5
Brazil,Sao Paulo,8,17,2011,23.05555555555556
Brazil,Sao Paulo,8,18,2011,17.5
Brazil,Sao Paulo,8,19,2011,18.944444444444443
Brazil,Sao Paulo,8,20,2011,17.5
Brazil,Sao Paulo,8,21,2011,10.444444444444445
Brazil,Sao Paulo,8,22,2011,11.555555555555554
Brazil,Sao Paulo,8,23,2011,14.77777777777778
Brazil,Sao Paulo,8,24,2011,15.5
Brazil,Sao Paulo,8,25,2011,19.77777777777777
Brazil,Sao Paulo,8,26,2011,18.833333333333336
Brazil,Sao Paulo,8,27,2011,18.22222222222222
Brazil,Sao Paulo,8,28,2011,22.05555555555556
Brazil,Sao Paulo,8,29,2011,25.500000000000004
Brazil,Sao Paulo,8,30,2011,23.05555555555556
Brazil,Sao Paulo,8,31,2011,15.22222222222222
Brazil,Sao Paulo,9,1,2011,11.944444444444445
Brazil,Sao Paulo,9,2,2011,11.055555555555555
Brazil,Sao Paulo,9,3,2011,14.055555555555554
Brazil,Sao Paulo,9,4,2011,18.61111111111111
Brazil,Sao Paulo,9,5,2011,23.55555555555556
Brazil,Sao Paulo,9,6,2011,18.61111111111111
Brazil,Sao Paulo,9,7,2011,17.666666666666668
Brazil,Sao Paulo,9,8,2011,19.388888888888893
Brazil,Sao Paulo,9,9,2011,20.72222222222222
Brazil,Sao Paulo,9,10,2011,17.88888888888889
Brazil,Sao Paulo,9,11,2011,17.5
Brazil,Sao Paulo,9,12,2011,14.72222222222222
Brazil,Sao Paulo,9,13,2011,17.77777777777778
Brazil,Sao Paulo,9,14,2011,15.22222222222222
Brazil,Sao Paulo,9,15,2011,15.666666666666666
Brazil,Sao Paulo,9,16,2011,17.22222222222222
Brazil,Sao Paulo,9,17,2011,16.77777777777778
Brazil,Sao Paulo,9,18,2011,17.055555555555557
Brazil,Sao Paulo,9,19,2011,18.166666666666668
Brazil,Sao Paulo,9,20,2011,23.22222222222222
Brazil,Sao Paulo,9,21,2011,18.833333333333336
Brazil,Sao Paulo,9,22,2011,17.38888888888889
Brazil,Sao Paulo,9,23,2011,19.27777777777778
Brazil,Sao Paulo,9,24,2011,16.944444444444443
Brazil,Sao Paulo,9,25,2011,14.11111111111111
Brazil,Sao Paulo,9,26,2011,15.555555555555555
Brazil,Sao Paulo,9,27,2011,16.11111111111111
Brazil,Sao Paulo,9,28,2011,16.5
Brazil,Sao Paulo,9,29,2011,20.11111111111111
Brazil,Sao Paulo,9,30,2011,23.944444444444443
Brazil,Sao Paulo,10,1,2011,25.27777777777778
Brazil,Sao Paulo,10,2,2011,19.5
Brazil,Sao Paulo,10,3,2011,18.72222222222222
Brazil,Sao Paulo,10,4,2011,16.72222222222222
Brazil,Sao Paulo,10,5,2011,19.222222222222214
Brazil,Sao Paulo,10,6,2011,22.33333333333333
Brazil,Sao Paulo,10,7,2011,20.38888888888889
Brazil,Sao Paulo,10,8,2011,21.27777777777778
